categorie,budget_code,budget_omschrijving
"Pos 1 Kozijnen en deuren","A.02.04","Kozijnen, ramen en deuren"
"Pos 2 Wanden","A.02.05","Wanden"
"Pos 3 Wandbekleding en plaatmateriaal","A.02.06","Div. plaatmateriaal tegen wanden"
"Pos 4 Wandtegelwerk toiletgroep","A.02.07","Wandtegelwerk toiletgroep / keukenblok"
"Pos 5 Wandtegelwerk vers en bakkerij","A.02.08","Wandtegelwerk vers en bakkerij"
"Pos 6 Diverse posten","A.02.09","Diverse posten"
"Pos 7 Luifel Bakkerij - Eiken","A.02.11","Luifel bakkerij (Eiken)"
"Pos 8 Luifel Vers - Vuren","A.02.12","Luifel vers (Vuren)"
"Pos 9 Bouwplaatskosten","A.02.03","Bouwplaats"
"Pos 10 Algemene kosten","A.02.01","Algemeen"
