omschrijving,art_nr
Koelbuffet 2-deurs,19.80-2drs
Koelbuffet 3-deurs,19.80-3drs
Koelbuffet 4-deurs,19.80-4drs
Koelbuffet 5-deurs (2+3 deurs incl. verlengd werkblad),19.80-5drs
Koelbuffet Saladiere t.b.v. Sushi,19.81
Koelbuffet Saladiere t.b.v. Sushi stekkerklaar,19.83
Verdamper koelcel 1000 W CO₂,Jum-ko-0010
Verdamper koelcel 2000 W CO₂,Jum-ko-0020
Verdamper koelcel 3000 W CO₂,Jum-ko-0030
Verdamper koelcel 4000 W CO₂,Jum-ko-0040
Verdamper koelcel 5000 W CO₂,Jum-ko-0050
Verdamper koelcel 6500 W CO₂,Jum-ko-0060
"Celpanelen koelcel hoogte 2400mm, Dik 80mm, Isolatie 0,243 W/m ² K",Jum-ko-0070
Ruimtekoeling slagerij FHD 932-N7 Co2,Jum-ko-0940
Verdamper vriescel  600 W CO₂,Jum-ko-0080
Verdamper vriescel  1100 W CO₂,Jum-ko-0090
Verdamper vriescel  1600 W CO₂,Jum-ko-0100
Verdamper vriescel  2200 W CO₂,Jum-ko-0110
Verdamper vriescel  2500 W CO₂,Jum-ko-0120
"Celpanelen vriescel hoogte 2400mm, Dik 100mm, Isolatie 0,21 W/m ² K",Jum-ko-0130
"Vloer cel, 0,7 mm antislip P250",Jum-ko-0150
"Deur met scharneren 1010*2100 mm,  geen RVS",Jum-ko-0160
"Stootstrip wit, plastic 100*20 mm",Jum-ko-0170
"LED light, micro save, met bewegingssensor",Jum-ko-0180
Danfoss Adap-Kool controller AKCC55,Jum-ko-0190
Afvoer (koper),Jum-ko-0200
Electronische Danfoss expansion valve,Jum-ko-0210
PT-1000 sensors (4 stuks),Jum-ko-0220
RVS circle sanded deur,Jum-ko-0230
Celpaneel afwerking rond kolom,Jum-ko-0240
Aluminium oprijplaat Diamantpatroon,Jum-ko-0250
"Aluminium oprijplaat Diamantpatroon, opklapbaar",Jum-ko-0260
Aluminium oprijplaat Diamantpatroon inwendig,Jum-ko-0270
"Meerkosten schuifkoelceldeur  1010*2100 mm,  geen RVS",Jum-ko-0280
"Meerkosten schuifvriesceldeur  1010*2100 mm,  geen RVS",Jum-ko-0290
Meerkosten slanke koelcelverdamper 1000W-6500W,Jum-ko-0300
Meerkosten slanke vriescelverdamper 1000W-6500W,Jum-ko-0310
Ruimteverdamper vleesafdeling  CO₂,Jum-ko-0140
"Boosterset 1, MT 38kW/LT 11 kW",Jum-ko-0320
"Boosterset 2, MT 45 kW/LT 13,5kW",Jum-ko-0330
"Boosterset 3, MT 52kW/LT 15kW",Jum-ko-0340
Boosterset 4 MT 60kW/LT 15kW,Jum-ko-0350
"Boosterset 5, MT 68kW/LT 17,5kW",Jum-ko-0360
Container  booster  1,Jum-ko-0370
Container  booster  2,Jum-ko-0380
Container  booster  3,Jum-ko-0390
Container  booster  4,Jum-ko-0400
Container  booster  5,Jum-ko-0410
Warmteterugwinning 1,Jum-ko-0420
Warmteterugwinning 2,Jum-ko-0430
Warmteterugwinning 3,Jum-ko-0440
Warmteterugwinning 4,Jum-ko-0450
Warmteterugwinning 5,Jum-ko-0460
Gas Cooler 1,Jum-ko-0470
Gas Cooler 2,Jum-ko-0480
Gas Cooler 3,Jum-ko-0490
Gas Cooler 4,Jum-ko-0500
Gas Cooler 5,Jum-ko-0510
Bypass valve size 1,Jum-ko-0520
Bypass valve size 2,Jum-ko-0530
Bypass valve size 3,Jum-ko-0540
Bypass valve size 4,Jum-ko-0550
Bypass valve size 5,Jum-ko-0560
Hoofdleidingbaan standaard koel in meters,Jum-ko-0620
Hoofdleidingbaan booster in meters,Jum-ko-0630
Hoofdleidingbaan standaard vries in meters,Jum-ko-0640
Aansluiting gascooler in meters,Jum-ko-0650
Aansluiting afgaande leidingbaan van hoofdleidingbaan naar hoge koelmeubelen/koelcellen,Jum-ko-0660
Aansluiting afgaande leidingbaan van hoofdleidingbaan naar 4 traps- en lage koelmeubelen,Jum-ko-0670
Aansluiting afgaande leidingbaan van hoofdeidingbaan naar diepvrieskasten/diepvriescellen,Jum-ko-0680
Aansluiting afgaande leidingbaan van hoofdleidingbaan naar diepvrieseilanden,Jum-ko-0690
Onderlinge aansluiting leidingwerk  koelmeubelen/koelverdampers,Jum-ko-0700
Onderlinge aansluiting leidingwerk vriesmeubelen/vriesverdampers,Jum-ko-0710
"Electrische en data aansluiting hoog (hoge wandkoelmeubels, vrieskasten en koel/vriescellen)",Jum-ko-0720
"Electrische en data aansluiting laag (ZB-meubels, 4-trapmeubels en vrieseilanden)",Jum-ko-0730
Installatie hoofd datalijn,Jum-ko-0740
Uniserver  / system manager,Jum-ko-0750
Transport en plaatsing booster installatie,Jum-ko-0760
Transport en plaatsing gascooler,Jum-ko-0770
Transport installatie onderdelen,Jum-ko-0900
Plaatsing koelmeubelen [# remote],Jum-ko-0780
Plaatsing meubelen [# stekkerklaar],Jum-ko-0790
"Transport meubelen van opslag installateur naar winkel, kosten per winkel van alle remote meubelen tesamen",Jum-ko-0800
"Transport meubelen van opslag installateur naar winkel, kosten per winkel van alle stekkerklare meubelen tesamen",Jum-ko-0810
Andere logistieke kosten,Jum-ko-0820
Koudemiddel voorbereiding,Jum-ko-0830
CO2 detectie [# units],Jum-ko-0840
Systeem test,Jum-ko-0850
Project management,Jum-ko-0860
Stijggoten in kleur per stijggoot,Jum-ko-0890
Extra zoneregeling verwarming ( per zone ),Jum-ko-0910
Regelsysteem HVAC Besturing,Jum-ko-1010
Extra kosten afpompen op zaterdag,Jum-ko-0990
