categorie,budget_code,budget_omschrijving
"Categorie buffetten","C.01.07","Koelbuffetten/Koelkasten/Diepvrieskasten"
"Categorie buffetten","C.02.03","Koelbuffetten/koelkasten/diepvrieskasten"
"Categorie koelcellen","C.03.01","Nieuwe koelcellen"
"Categorie vriescellen","C.03.02","Nieuwe vriescellen"
"Categorie verdamper vleesafdeling","C.03.03","Evaporator/cooling slagerij"
"Categorie celaccessoires","C.03.04","Aanvullende cel accesoires"
"Categorie boosters","C.04.01","Booster"
"Categorie WTW","C.04.02","Heat recovery"
"Categorie boostercontainers","C.04.03","Container unit"
"Categorie gascoolers","C.04.04","Gascooler"
"Categorie Installatiematerialen en logistiek","C.05.01","Installation piping system components"
"Categorie Installatiematerialen en logistiek","C.05.02","Installation of electricity & data lines"
"Categorie Installatiematerialen en logistiek","C.05.03","Logistical tasks"
"Categorie Installatiematerialen en logistiek","C.05.04","Making equipment ready for usage"
"Categorie additionele zaken","C.05.06","Diversen"
"Categorie additionele zaken","C.05.07","HVAC"
