omschrijving,art_nr
01.10C check-out tandem J,396585
"01.10L check-out enkel links(lengte achterband 2,00) J/F",343250
"01.10R check-out enkel rechts(lengte achterband 2,00) J/F",343249
01.13 L/R Servicebalie checkout J,462294
01.14F Cadeaukaartenhouder,346551
01.14L mandjeskassa 1565 mm grijs links J,343345
01.14R mandjeskassa 1565 mm grijs rechts J,353625
01.18A Zelfscanmodule 18 cradles (nieuw) J/F/B,366071
01.18B Zelfscan Beeldschermsteun (nieuw) J/F/B,471665
"01.19F SCO achterwand ""smal model""",433182
01.20 Impulsmand check-out J/F,125394
01.20A kassapresentatie 600mm (check-outs met achterband 1000/1250) J/F,303880
01.20B kassapresentatie 1000mm (check-outs met achterband 1500) J/F,303881
01.20C kassapresentatie 1400mm (check-outs met achterband 1750/2000) J/F,303882
"01.20D Kassa impulsmeubel zoetwaren, 600*400*800, verrijdbaar",338978
01.23 Weegschaalmeubel voor SCO J/F/B,409688
01.28A Exit gates SCO enkel A  J/F/B,423240
01.28B Exit gates SCO enkel B  J/F/B,426272
01.28D Exit gates SCO enkel D  J/F/B,447992
01.28E Exit gates SCO enkel E  J/F/B,443095
01.28F Exit gates SCO enkel F J/F/B,446101
01.29A Exit gates SCO dubbel A J/F/B,426303
01.29B Exit gates SCO dubbel B J/F/B,426283
01.29C Exit gates SCO dubbel C,446355
01.34 scheidingswand 180 cm hoog glas en stootrail J/F,723
01.35 Folderrek / magazine standaard J/F,145098
01.36 paktafel/dozenbox  1000 x 600 J/F,165600
01.36B paktafel/dozenbox 1500 x 600 J/F,163319
01.37 klaphek tussen checkouts,109601
01.38 winkemandverzamelaar,156942
01.45 Hygiënezuil J/F/B VERVALT,405840
01.53A servicebalie kassa 800x600mm (bxd) J/F,471959
01.53B servicebalie recht dicht 600x600mm (bxd) J/F,331039
01.53D servicebalie recht dicht 800x600mm (bxd) J/F,319143
01.53E servicebalie Inpak recht 950x600mm (bxd) (incl. lintenrolhouder) J/F,325272
01.53F servicebalie recht werkplek 600x600mm (bxd) J/F,327463
01.53G servicebalie hoekstuk 600x600mm (bxd) J/F,325346
01.53J Lotto unit 80*600*720 J/F,319144
01.53K Afvalbak in service balie J/F,319142
01.55 Hoekbeschermer tassenplank,364079
01.63A achterwandkast t.b.v. scheermesjes / telefoon (SM/Tel) J/F,414439
01.63B achterwandkast t.b.v. sigaretten / sigaren (Tabak) J/F,404519
01.63C achterwandkast t.b.v. stomerij (ST) J/F,325113
01.64 Achterwandkast 1200 Tabak-deuren J/F/B,368905
01.64A Achterwandkast 1200 SM/tel,371007
01.64B Achterwandkast 1200 Tabak_laden,474120
01.64C Tabakskast 100 cm hoog met lades,324538
01.65 Achterwandkast 1500 Tabak-deuren,477461
01.65A Achterwandkast 1500 SM/Tel J/F/B,471379
01.65B Achterwandkast 1500 Tabak-laden J/F/B,471375
01.66 klaphek dubbel breed 90 cm  J/F/B,335317
01.67 AL/AR Servicepunt meubel J/F/B,508563
Basisplaat Eurolade,850
"Eurolade zonder slot, afgedopt",855
Mechanische geldlade opener,101043
Houder voor scanner klantenkaart aan zijkant,365104
Anti diefstalspiegel,644
Kassa stoel,851
Voetensteun,847
Cashbox incl. beugel,404743
Pinpadsteun J/F/B,201943
Pinpadsteun invaliden J/F/B,305609
02.10 Basismeubel 900x1100x950mm J/F,315942
Beeldschermsteun kassameubel J/F/B,199277
02.11 Basismeubel 1200x1100x950mm J/F,306469
02.11A Pizza presentatiemeubel 1200x1100x950mm J/F/B,306469
02.12 Basismeubel 1800x1100x950mm J/F,306470
02.13 Basismeubel 2800x1100x950mm J/F,324132
02.14 Kassameubel 900x900x950mm J/F,324079
02.14A Kassameubel 1200x900x950mm J/F,332497
02.14B Kassameubel_1200x900x950mm met beeldschermen rechts J/F,307532
02.14C Kassameubel_1200x900x950mm met beeldschermen links J/F,334184
02.15 Drop-in 600 koelmeubel 1200x1100x950mm J/F/B,296493
02.15A Drop-in 1120 koelmeubel 1200x1100x950mm,316253
02.15B Drop-in 600 warmhoudmeubel 1200x1100x950mm J/F/B,296493
02.16 Sandwichmeubel 1200x1100x950mm J/F,296492
02.17 Drop-in warm-koud meubel 1800x1100x950 J/F,323131
02.18 Pizzameubel 2800x1100x950mm J/F,331734
02.18A Pizza bewerkingsmeubel 1200x1100x950mm J/F/B,353088
02.29 Viennoserierek voor koffietafel,306128
02.31 Achterwand kast koffiecorner F,323168
02.36L Koffietoonbank links 1600 mm F,471366
02.36R Koffietoonbank rechts 1600 mm F,471367
02.37 koffie bed meubel vooraanzicht bovenaanz (enkele uitvoering als koppeling op haakse balie) F,323168
02.37A Koffie-onderkast 1250mm dubbel F,336324
02.41 Afruimmeubel S 1132x580 J/F,258790
02.42 Afruimmeubel M 1554x580 J/F,258791
02.43 Afruimmeubel 2204 x580 x 1200 F,335269
02.44 Besteksmeubel J/F,258793
02.45 Glastoren hoog 620x620 mm F,517567
02.45A Glastoren laag 620 x 620 mm F,515645
02.48 Afvalunit 600*600*1200 F,318958
02.91 Plantenbak 1200 mm F,349032
03.01 weegmeubel 760mm (geen presentatie) J,165954
03.01E weegmeubel 760mm Belgie B,523632
"03.06 AGF verstafel 2-laags, breed 1295mm, diep 1192mm J - Beginelement 1,2 m",224286
"03.06 AGF verstafel 2-laags, breed 1295mm, diep 1192mm J - Volgelement 1,2m",224287
"03.07 AGF eiland-gondola 3 traps (City) J Beginelement 1,2 m",408515
"03.07 AGF eiland-gondola 3 traps (City) J Volgelement 1,2m",408517
"03.07 AGF eiland-gondola 3 traps (City) J/C Eindelement 1,2m",408518
03.07A AGF weegplateau t.b.v. 3 traps gondola AGF C,530530
03.07C AGF wandstelling 3 traps J,401498
03.07G Schap smaakmakers 250x200mm tbv 3-laags AGF-tafel,350513
"03.08A AGF tafel inclusief koeltafel 2-laags (koeltafel, code 19.03A) J",458985
"03.09 AGF tafel bananen 2-laags, breed 1295mm, diep 1192mm J",342361
03.02 weegmeubel 760mm (kleur H3331),342361
03.13 Smaakmakerschap op standaard 1400mm hoog,342361
03.10A AGF frame niet verstelbaar 600mm breed F,477557
03.10B AGF frame niet verstelbaar 1200mm breed,477556
03.11A Stoep AGF 600 mm breed F,135662
03.12 Bananen kussens  J,144123
03.21A kistpresentatie groot 1293x893x872 (rechte presentatie) J/F,189364
03.21B kistpresentatie klein 893x693x872 (rechte presentatie) J/F,182901
03.21C AGF Palletkist schuin groot J/F,503895
03.21D AGF Palletkist schuin middel J/F,520320
03.21E AGF Palletkist schuin klein J/F,520322
03.22 Palletbak schuin tbv aardappelen F,313531
03.22A Aardappelkist F,186590
03.22B Aardappelpresentatie 1250x850 (kist+2 laags) F,306147
03.22C Aardappelbak 1200 mm schuin (losse bak) J,313531
03.22D Aardappelbak 960 mm schuin (losse bak) J/F,518484
03.23A AGF kist Neutraal J,226582
03.27A Achterwand Zumex Hoog J/F,342808
03.27B Achterwand Zumex Laag J/F,320385
03.29 Impulsmeubel gratis fruit J/F,306269
"03.30 AGF wandstelling, beginmeter J/F",410695
"03.30 AGF wandstelling, volgmeter J/F",410698
03.31 Kruidenpresentatie 2400/1200 J/F,306142
03.32 Maaltijden inhang 1000mm J/F,346694
03.35 Combi aardappels en smaakmakers J/F,519851
03.35B Aardappelpresentatie 1500 mm hoog J/F,519838
03.36A Maaltijdpakketten 2400 mm hoog J/F,515490
03.41 AGF zakkenhouder 320x230mm J/F,384567
03.41B Houder herbruikbare tasjes J/F,503324
03.46 AGF cross-sell kisten rek J/F,183620
03.47 Inhaakframe signing  J/F,251152
04.10 cockpitmeubel Vlees 1200x800 J,168325
04.11 cockpitmeubel Eiken 2500x800x1150 (219965 vK) F,219965
05.10 weegmeubel zelfschep vis 400*850*900 kleur grijs J,335164
05.10A Weegmeubel VIS 400x850 zwart,343013
05.11 RVS cockpitmeubl Vis F,315287
06.10 cockpitmeubel Vleeswaren J/F,168325
